Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist
2026-02-05,2899.0,2953.0,2882.0,2903.0,2887.4,3023.3,2595.9,14.1,52.8,-38.7
2026-02-06,2945.0,2970.0,2903.0,2970.0,2903.0,3017.5,2605.9,14.3,45.1,-30.8
2026-02-09,3010.0,3040.0,2974.0,3015.0,2934.4,3014.1,2617.0,17.8,39.6,-21.8
2026-02-10,2997.0,3060.0,2966.0,2975.0,2957.4,3006.5,2628.1,17.3,35.2,-17.9
2026-02-12,3130.0,3195.0,3105.0,3190.0,3010.6,3009.3,2642.2,33.7,34.9,-1.1
2026-02-13,3750.0,3890.0,3710.0,3890.0,3208.0,3043.1,2664.5,102.1,48.3,53.8
2026-02-16,3950.0,4140.0,3750.0,3895.0,3393.0,3081.8,2687.2,154.9,69.7,85.3
2026-02-17,3950.0,3975.0,3650.0,3740.0,3538.0,3107.8,2708.5,182.2,92.2,90.0
2026-02-18,3925.0,4080.0,3855.0,4030.0,3749.0,3149.1,2733.8,224.6,118.6,105.9
2026-02-19,3990.0,4505.0,3990.0,4480.0,4007.0,3215.3,2765.7,291.1,153.1,138.0
2026-02-20,4410.0,4695.0,4410.0,4600.0,4149.0,3278.7,2800.0,349.5,192.4,157.1
2026-02-24,4600.0,4725.0,4500.0,4620.0,4294.0,3344.8,2834.2,392.9,232.5,160.4
2026-02-25,4615.0,4615.0,4455.0,4465.0,4439.0,3396.2,2866.3,410.0,268.0,142.0
2026-02-26,4525.0,4760.0,4430.0,4485.0,4530.0,3443.8,2899.2,420.4,298.5,121.9
2026-02-27,4555.0,4725.0,4545.0,4700.0,4574.0,3510.0,2934.1,440.9,327.0,113.9
2026-03-02,4595.0,4715.0,4480.0,4505.0,4555.0,3569.6,2966.9,436.3,348.8,87.5
2026-03-03,4485.0,4520.0,4255.0,4255.0,4482.0,3617.0,2995.8,407.8,360.6,47.2
2026-03-04,4115.0,4245.0,4070.0,4085.0,4406.0,3655.0,3021.2,367.3,362.0,5.3
2026-03-05,4300.0,4340.0,3985.0,3995.0,4308.0,3691.4,3045.0,324.2,354.4,-30.2
2026-03-06,3970.0,4080.0,3900.0,4060.0,4180.0,3732.4,3068.8,291.9,341.9,-50.0
2026-03-09,3785.0,3890.0,3720.0,3800.0,4039.0,3767.7,3088.8,242.6,322.0,-79.5
2026-03-10,3780.0,3820.0,3745.0,3780.0,3944.0,3803.2,3107.0,199.5,297.5,-98.0
2026-03-11,3775.0,3965.0,3770.0,3840.0,3895.0,3842.5,3127.4,168.3,271.7,-103.4
2026-03-12,3975.0,3980.0,3805.0,3860.0,3868.0,3882.5,3148.1,143.6,246.1,-102.5
2026-03-13,3790.0,4085.0,3775.0,4020.0,3860.0,3926.3,3171.5,135.3,223.9,-88.6
2026-03-16,4005.0,4125.0,3980.0,4070.0,3914.0,3973.0,3195.6,131.2,205.4,-74.1
2026-03-17,4140.0,4235.0,4040.0,4225.0,4003.0,4023.2,3220.4,138.9,192.1,-53.1
2026-03-18,4210.0,4510.0,4185.0,4510.0,4137.0,4083.0,3249.6,166.1,186.9,-20.8
2026-03-19,4300.0,4360.0,4215.0,4240.0,4213.0,4133.6,3275.1,164.0,182.3,-18.3
2026-03-23,4170.0,4205.0,3995.0,4005.0,4210.0,4166.2,3297.9,141.7,174.2,-32.5
2026-03-24,4135.0,4170.0,4050.0,4145.0,4225.0,4176.4,3322.2,133.8,166.1,-32.3
2026-03-25,4235.0,4285.0,4195.0,4250.0,4230.0,4190.6,3346.5,134.5,159.8,-25.3
2026-03-26,4200.0,4235.0,4065.0,4110.0,4150.0,4205.4,3369.1,122.3,152.3,-30.0
2026-03-27,4180.0,4280.0,4100.0,4280.0,4158.0,4215.4,3394.2,124.9,146.8,-21.9
2026-03-30,4080.0,4260.0,4035.0,4205.0,4198.0,4204.4,3417.6,119.5,141.4,-21.8
2026-03-31,4200.0,4250.0,4105.0,4200.0,4209.0,4188.4,3441.6,113.6,135.8,-22.2
2026-04-01,4310.0,4450.0,4260.0,4445.0,4248.0,4181.4,3469.1,127.2,134.1,-6.9
2026-04-02,4485.0,4710.0,4430.0,4530.0,4332.0,4184.0,3497.7,143.1,135.9,7.3
2026-04-03,4655.0,4675.0,4535.0,4625.0,4401.0,4189.6,3526.3,161.6,141.0,20.6
2026-04-06,4755.0,4795.0,4645.0,4655.0,4491.0,4187.8,3553.7,176.6,148.2,28.5
2026-04-07,4725.0,4820.0,4680.0,4780.0,4607.0,4198.8,3582.1,196.3,157.8,38.6
2026-04-08,4815.0,4840.0,4570.0,4655.0,4649.0,4214.8,3605.8,199.6,166.2,33.4
2026-04-09,4655.0,4670.0,4370.0,4425.0,4628.0,4228.4,3627.6,181.5,169.2,12.3
2026-04-10,4535.0,4725.0,4445.0,4445.0,4592.0,4246.4,3649.6,166.9,168.8,-1.9
2026-04-13,4375.0,4385.0,4115.0,4170.0,4495.0,4250.8,3668.9,131.6,161.3,-29.8
2026-04-14,4190.0,4285.0,4125.0,4255.0,4390.0,4269.0,3689.8,109.2,150.9,-41.7
2026-04-15,4320.0,4445.0,4310.0,4380.0,4335.0,4293.0,3710.9,100.4,140.8,-40.4
2026-04-16,4420.0,4495.0,4350.0,4495.0,4349.0,4319.2,3732.7,101.5,132.9,-31.4
2026-04-17,4475.0,4555.0,4440.0,4445.0,4349.0,4342.6,3754.0,97.2,125.8,-28.5
2026-04-20,4455.0,4655.0,4455.0,4585.0,4432.0,4365.2,3774.6,104.0,121.4,-17.5
2026-04-21,4695.0,4785.0,4610.0,4745.0,4530.0,4392.2,3796.2,120.8,121.3,-0.5
2026-04-22,4760.0,4790.0,4490.0,4525.0,4559.0,4404.2,3815.0,115.1,120.1,-5.0
2026-04-23,4400.0,4400.0,4135.0,4255.0,4511.0,4394.0,3830.4,87.7,113.6,-25.9
2026-04-24,4215.0,4215.0,3970.0,3985.0,4419.0,4383.8,3841.3,43.8,99.6,-55.8
2026-04-27,3970.0,4010.0,3850.0,3905.0,4283.0,4379.8,3851.8,2.5,80.2,-77.7
2026-04-28,3870.0,4050.0,3810.0,4045.0,4143.0,4375.8,3865.1,-18.8,60.4,-79.2
2026-04-30,4000.0,4055.0,3845.0,3920.0,4022.0,4362.6,3878.3,-45.2,39.3,-84.5
2026-05-01,3960.0,3995.0,3870.0,3885.0,3948.0,4353.6,3888.9,-68.1,17.8,-85.9
2026-05-07,3900.0,4225.0,3875.0,4155.0,3982.0,4348.6,3904.4,-63.8,1.5,-65.3
2026-05-08,4215.0,4315.0,4090.0,4140.0,4029.0,4346.0,3921.9,-60.9,-11.0,-49.9
2026-05-11,4120.0,4290.0,4090.0,4225.0,4065.0,4347.0,3938.0,-51.1,-19.0,-32.1
2026-05-12,4300.0,4410.0,4265.0,4330.0,4147.0,4342.4,3956.2,-34.5,-22.1,-12.4
2026-05-13,4305.0,4460.0,4280.0,4440.0,4258.0,4338.8,3973.0,-12.3,-20.1,7.8
2026-05-14,4440.0,4465.0,4220.0,4300.0,4287.0,4325.8,3986.4,-6.0,-17.3,11.3
