Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2025-10-20,2927.9,3100.1,2911.0,3039.4,3113.3,2972.1,,-28.2,-80.9,52.7,135.5
2025-10-21,2984.7,3094.2,2951.3,3056.3,3095.0,2966.4,,-19.9,-68.7,48.8,141.6
2025-10-22,3100.1,3192.7,3088.2,3125.0,3095.0,2962.3,,-7.6,-56.5,48.8,145.9
2025-10-23,3141.0,3184.8,3090.2,3146.9,3097.0,2962.9,,3.8,-44.4,48.2,146.7
2025-10-24,3134.0,3165.9,3073.3,3082.2,3090.0,2960.4,,7.5,-34.0,41.6,135.4
2025-10-27,3066.3,3095.2,3010.5,3014.5,3085.0,2956.7,,5.0,-26.2,31.2,134.9
2025-10-28,3019.5,3032.4,2899.5,2899.5,3053.7,2951.1,,-6.3,-22.3,16.0,140.6
2025-10-29,2902.0,2930.9,2839.3,2857.2,3000.1,2946.8,,-18.4,-21.5,3.1,143.5
2025-10-30,2902.0,2921.9,2832.3,2887.1,2948.1,2940.0,,-25.3,-22.2,-3.0,145.0
2025-10-31,2915.0,3154.9,2911.0,3154.9,2962.7,2946.0,,-9.0,-19.6,10.6,153.9
2025-11-04,2951.8,3194.7,2922.9,3176.8,2995.1,2953.1,,5.6,-14.6,20.1,143.4
2025-11-05,3235.5,3260.4,3106.1,3227.6,3060.7,2962.9,,21.0,-7.5,28.4,143.5
2025-11-06,3285.3,3323.1,3136.0,3230.6,3135.4,2974.8,,33.1,0.6,32.4,145.8
2025-11-07,3290.3,3440.6,3251.5,3387.9,3235.5,2994.8,,54.7,11.5,43.2,154.5
2025-11-10,3382.9,3429.7,3310.2,3426.7,3289.9,3016.3,,74.1,24.0,50.1,148.3
2025-11-11,3434.6,3435.6,3333.1,3382.9,3331.1,3044.5,,85.0,36.2,48.8,145.4
2025-11-12,3372.9,3403.8,3302.2,3325.1,3350.6,3070.9,,87.9,46.5,41.4,142.9
2025-11-13,3285.3,3310.2,3217.6,3290.3,3362.6,3096.8,,86.5,54.5,31.9,143.8
2025-11-14,3319.2,3329.1,3222.6,3233.5,3331.7,3118.5,,79.8,59.6,20.2,144.8
2025-11-17,2953.8,3013.5,2857.2,2929.9,3232.4,3127.1,,49.4,57.5,-8.1,165.7
2025-11-18,2979.7,3004.6,2892.1,2925.4,3140.9,3133.1,,24.7,51.0,-26.2,164.2
2025-11-19,2925.9,3080.2,2918.0,2958.3,3067.5,3125.5,,7.7,42.3,-34.6,169.2
2025-11-20,2961.8,3057.3,2956.8,2988.6,3007.2,3120.0,,-3.3,33.2,-36.5,170.0
2025-11-21,2947.8,3037.4,2926.9,3037.4,2967.9,3116.1,3161.9,-8.0,25.0,-32.9,158.8
2025-11-25,3048.4,3063.3,2961.8,3018.5,2985.7,3112.1,3153.1,-13.1,17.4,-30.4,146.6
2025-11-26,3048.4,3168.8,3036.4,3130.0,3026.6,3115.7,3147.4,-8.0,12.3,-20.3,146.3
2025-11-27,3115.1,3218.6,3112.1,3148.9,3064.7,3119.4,3141.6,-2.4,9.4,-11.8,140.6
2025-11-28,3126.0,3157.9,3057.3,3085.2,3084.0,3117.8,3134.2,-3.1,6.9,-10.0,132.8
2025-12-01,3037.4,3125.0,3024.5,3125.0,3101.5,3117.0,3128.1,-0.5,5.4,-5.9,131.4
2025-12-02,3124.0,3143.0,3004.6,3006.6,3099.1,3113.9,3119.5,-7.8,2.7,-10.6,134.0
2025-12-03,2946.8,2968.7,2876.1,2937.9,3060.7,3110.9,3109.7,-19.0,-1.6,-17.4,136.0
2025-12-04,2978.7,3046.4,2955.8,3046.4,3040.2,3116.8,3103.1,-18.8,-5.0,-13.8,136.1
2025-12-05,3046.4,3051.4,2909.5,2909.5,3005.1,3118.8,3094.3,-29.4,-9.9,-19.5,138.6
2025-12-08,2926.9,2965.2,2895.1,2928.4,2965.7,3120.5,3085.9,-35.9,-15.1,-20.8,116.8
2025-12-09,2956.8,3007.6,2949.3,2974.2,2959.3,3113.3,3078.0,-36.9,-19.5,-17.4,114.4
2025-12-10,3036.4,3084.2,2957.3,2975.2,2966.7,3105.2,3070.7,-37.2,-23.0,-14.2,111.9
2025-12-11,3014.5,3131.0,3006.6,3027.5,2963.0,3097.2,3064.7,-32.8,-25.0,-7.8,115.8
2025-12-12,3019.5,3057.3,3000.6,3021.5,2985.4,3088.8,3059.0,-29.5,-25.9,-3.6,112.0
2025-12-15,3011.5,3049.4,2987.6,3014.5,3002.6,3073.9,3054.4,-27.1,-26.1,-1.0,109.1
2025-12-16,3037.4,3040.4,2952.8,2952.8,2998.3,3054.9,3048.9,-29.9,-26.9,-3.0,104.6
2025-12-17,2972.7,2988.6,2955.8,2972.2,2997.7,3038.5,3043.9,-30.1,-27.5,-2.6,99.6
2025-12-18,2958.8,2979.7,2943.8,2960.3,2984.3,3023.9,3039.7,-30.9,-28.2,-2.7,95.0
2025-12-19,2966.7,3036.4,2963.8,3013.5,2982.7,3012.9,3037.6,-27.0,-28.0,1.0,93.2
2025-12-22,3023.5,3026.5,2954.8,2986.7,2977.1,3003.0,3035.0,-25.7,-27.5,1.8,88.5
2025-12-23,2971.7,2993.6,2953.8,2968.2,2980.2,3004.5,3033.2,-25.9,-27.2,1.3,82.0
2025-12-24,2967.7,2981.2,2942.8,2942.8,2974.3,3005.2,3032.4,-27.8,-27.3,-0.5,77.0
2025-12-25,2926.9,2931.4,2809.4,2824.4,2947.1,2999.9,3030.6,-38.4,-29.5,-8.9,76.4
2025-12-26,2819.4,2854.7,2798.0,2852.3,2914.9,2994.4,3027.4,-44.0,-32.4,-11.6,75.4
2025-12-29,2857.7,2860.2,2791.0,2796.0,2876.7,2984.7,3024.0,-52.4,-36.4,-16.0,74.7
2025-12-30,2787.5,2802.5,2759.7,2769.6,2837.0,2974.8,3020.1,-60.5,-41.2,-19.3,68.7
2026-01-05,2792.0,2852.3,2792.0,2837.3,2815.9,2963.1,3017.0,-60.8,-45.1,-15.6,63.5
2026-01-06,2862.2,2920.0,2812.4,2912.5,2833.5,2953.6,3013.2,-54.3,-47.0,-7.3,67.1
2026-01-07,2774.6,2827.4,2763.2,2792.5,2821.6,2941.9,3007.4,-58.1,-49.2,-8.9,73.4
2026-01-08,2795.0,2798.0,2757.7,2764.1,2815.2,2927.5,3002.5,-62.8,-51.9,-10.9,70.0
2026-01-09,2782.1,2830.8,2765.6,2811.9,2823.7,2919.7,2998.0,-61.9,-53.9,-8.0,72.2
2026-01-13,2847.3,2855.2,2768.6,2804.0,2817.0,2914.3,2994.0,-61.1,-55.4,-5.8,75.8
2026-01-14,2795.5,2880.6,2778.6,2880.6,2810.6,2907.7,2991.9,-53.7,-55.0,1.3,77.7
2026-01-15,3185.8,3247.5,3111.1,3219.6,2896.1,2920.1,2995.3,-20.2,-48.1,27.8,98.7
2026-01-16,3215.6,3221.6,3092.2,3155.9,2974.4,2929.2,2996.6,1.2,-38.2,39.4,105.1
2026-01-19,3112.1,3159.9,3029.5,3121.1,3036.2,2935.1,2998.1,15.1,-27.6,42.7,111.7
2026-01-20,3185.8,3244.5,3157.9,3215.6,3118.6,2944.7,3001.0,33.4,-15.4,48.8,111.0
2026-01-21,3184.8,3243.5,3087.2,3120.1,3166.4,2948.4,3002.8,39.7,-4.3,44.1,118.1
2026-01-22,3132.0,3135.0,3037.4,3037.4,3130.0,2949.0,3004.2,37.7,4.1,33.6,120.1
2026-01-23,3047.4,3085.2,3010.5,3020.5,3102.9,2949.3,3006.0,34.2,10.1,24.1,122.4
2026-01-26,3041.4,3099.1,3020.5,3023.5,3083.4,2952.1,3007.8,31.4,14.4,17.1,122.1
2026-01-27,3102.1,3143.9,3028.5,3052.4,3050.8,2955.3,3012.8,31.1,17.7,13.4,123.1
2026-01-28,3025.5,3032.4,2981.7,3021.5,3031.1,2957.8,3017.5,28.1,19.8,8.3,117.4
2026-01-29,2988.6,2996.6,2937.4,2985.2,3020.6,2956.6,3022.1,22.5,20.3,2.2,120.6
2026-01-30,2988.6,3067.3,2973.7,3067.3,3030.0,2959.9,3027.1,24.4,21.2,3.3,122.5
2026-02-02,3082.2,3190.7,3063.3,3183.8,3062.0,2968.5,3033.4,35.0,23.9,11.0,125.4
2026-02-03,3180.8,3250.5,3160.9,3238.5,3099.2,2980.3,3039.5,47.2,28.6,18.6,124.5
2026-02-04,3153.9,3219.6,3106.1,3132.0,3121.3,2992.6,3039.3,47.7,32.4,15.3,107.8
2026-02-05,3166.8,3299.3,3165.9,3264.4,3177.2,3009.1,3041.2,58.1,37.5,20.6,110.5
2026-02-06,3294.3,3357.0,3250.5,3255.5,3214.8,3027.5,3042.8,64.9,43.0,21.9,108.8
2026-02-09,3285.3,3348.0,3201.7,3230.6,3224.2,3045.9,3044.3,67.5,47.9,19.6,110.4
2026-02-10,3292.3,3401.8,3285.3,3393.8,3255.3,3068.2,3049.0,81.8,54.7,27.1,111.5
2026-02-12,3441.6,3511.3,3406.8,3511.3,3331.1,3092.1,3055.1,101.5,64.1,37.4,112.9
2026-02-13,3537.2,3558.1,3455.6,3484.4,3375.1,3119.8,3059.9,113.5,73.9,39.6,114.9
2026-02-16,3500.4,3556.1,3484.4,3484.4,3420.9,3148.6,3064.4,121.7,83.5,38.2,114.4
2026-02-17,3510.3,3515.3,3458.5,3514.3,3477.7,3176.7,3070.1,129.1,92.6,36.5,109.8
2026-02-18,3551.1,3656.7,3537.2,3587.0,3516.3,3208.0,3077.7,139.2,101.9,37.3,115.0
2026-02-19,3598.9,3655.7,3554.1,3633.8,3540.8,3238.1,3087.5,149.3,111.4,37.9,116.2
2026-02-20,3636.7,3655.7,3597.9,3603.9,3564.7,3253.5,3097.5,153.1,119.8,33.4,113.6
2026-02-24,3586.0,3587.0,3437.6,3516.3,3571.0,3267.9,3105.9,147.4,125.3,22.1,116.4
2026-02-25,3484.4,3598.9,3478.5,3580.0,3584.2,3286.3,3111.5,146.3,129.5,16.8,118.6
2026-02-26,3603.0,3648.0,3518.0,3522.0,3571.2,3298.5,3116.1,139.1,131.4,7.7,118.4
2026-02-27,3580.0,3627.0,3559.0,3597.0,3563.8,3317.6,3121.1,137.9,132.7,5.2,114.0
2026-03-02,3457.0,3635.0,3445.0,3635.0,3570.1,3341.5,3126.5,138.4,133.9,4.6,120.0
2026-03-03,3626.0,3626.0,3406.0,3444.0,3555.6,3358.5,3127.2,122.0,131.5,-9.5,125.9
2026-03-04,3443.0,3549.0,3403.0,3484.0,3536.4,3376.9,3128.0,111.0,127.4,-16.4,124.1
2026-03-05,3554.0,3575.0,3470.0,3473.0,3526.6,3393.7,3129.2,100.1,121.9,-21.8,123.2
2026-03-06,3575.0,3614.0,3504.0,3585.0,3524.2,3416.3,3132.6,99.5,117.4,-18.0,125.9
2026-03-09,3517.0,3580.0,3427.0,3571.0,3511.4,3439.7,3136.4,96.7,113.3,-16.6,132.1
2026-03-10,3576.0,3664.0,3542.0,3576.0,3537.8,3460.0,3141.0,93.8,109.4,-15.6,136.7
2026-03-11,3732.0,3894.0,3712.0,3767.0,3594.4,3483.4,3152.1,105.7,108.7,-2.9,149.3
2026-03-12,3700.0,3767.0,3660.0,3684.0,3636.6,3501.2,3162.2,107.2,108.4,-1.1,149.7
2026-03-13,3623.0,3773.0,3606.0,3757.0,3671.0,3526.2,3172.9,113.0,109.3,3.7,157.5
2026-03-16,3750.0,3754.0,3606.0,3646.0,3686.0,3541.4,3181.6,107.4,108.9,-1.5,156.4
2026-03-17,3660.0,3723.0,3639.0,3667.0,3704.2,3557.9,3190.0,103.5,107.8,-4.4,153.8
2026-03-18,3657.0,3676.0,3612.0,3649.0,3680.6,3574.6,3198.4,97.8,105.8,-8.1,149.1
2026-03-19,3579.0,3582.0,3498.0,3516.0,3647.0,3579.5,3203.6,81.6,101.0,-19.4,152.4
2026-03-23,3410.0,3477.0,3369.0,3391.0,3573.8,3574.7,3206.8,58.0,92.4,-34.4,149.3
2026-03-24,3526.0,3526.0,3340.0,3370.0,3518.6,3570.1,3210.6,37.1,81.3,-44.2,146.2
2026-03-25,3510.0,3514.0,3457.0,3485.0,3482.2,3570.2,3215.4,29.6,71.0,-41.4,146.1
2026-03-26,3520.0,3520.0,3376.0,3407.0,3433.8,3565.9,3220.8,17.1,60.2,-43.1,148.9
2026-03-27,3430.0,3473.0,3377.0,3440.0,3418.6,3560.0,3227.5,9.8,50.1,-40.3,145.6
2026-03-30,3250.0,3312.0,3193.0,3312.0,3402.8,3547.1,3231.0,-6.3,38.8,-45.1,152.0
2026-03-31,3290.0,3350.0,3229.0,3334.0,3395.6,3536.3,3236.7,-17.1,27.6,-44.7,151.9
2026-04-01,3441.0,3497.0,3373.0,3497.0,3398.0,3535.6,3244.2,-12.3,19.7,-32.0,140.9
2026-04-02,3500.0,3538.0,3330.0,3333.0,3383.2,3525.7,3249.0,-21.5,11.4,-32.9,148.1
2026-04-03,3399.0,3504.0,3389.0,3471.0,3389.4,3523.6,3255.6,-17.5,5.6,-23.1,148.4
2026-04-06,3471.0,3603.0,3445.0,3583.0,3443.6,3523.1,3263.0,-5.2,3.5,-8.7,148.9
2026-04-07,3587.0,3607.0,3528.0,3532.0,3483.2,3519.0,3269.8,0.4,2.9,-2.4,148.5
2026-04-08,3687.0,3687.0,3565.0,3639.0,3511.6,3526.8,3278.2,13.4,5.0,8.4,155.0
2026-04-09,3638.0,3765.0,3597.0,3604.0,3565.8,3531.6,3286.9,20.6,8.1,12.5,156.2
2026-04-10,3609.0,3762.0,3597.0,3750.0,3621.6,3542.6,3297.2,37.6,14.0,23.6,157.5
2026-04-13,3869.0,3922.0,3730.0,3804.0,3665.8,3551.4,3308.5,54.8,22.2,32.7,157.9
2026-04-14,3770.0,3855.0,3663.0,3776.0,3714.6,3559.6,3318.6,65.5,30.8,34.7,161.4
2026-04-15,3870.0,3911.0,3753.0,3910.0,3768.8,3573.0,3330.9,83.8,41.4,42.4,162.4
2026-04-16,3948.0,4048.0,3901.0,4016.0,3851.2,3582.9,3344.9,105.6,54.3,51.3,166.0
2026-04-17,4037.0,4105.0,3893.0,3942.0,3889.6,3593.2,3358.2,115.6,66.5,49.1,163.5
2026-04-20,3888.0,3907.0,3788.0,3856.0,3900.0,3597.2,3372.0,115.2,76.3,39.0,165.9
2026-04-21,3863.0,3865.0,3760.0,3785.0,3901.8,3602.8,3384.4,108.0,82.6,25.4,161.7
2026-04-22,3715.0,3805.0,3651.0,3752.0,3870.2,3606.2,3397.2,98.4,85.8,12.7,157.9
2026-04-23,3651.0,3779.0,3647.0,3779.0,3822.8,3611.4,3410.6,92.0,87.0,5.0,155.1
2026-04-24,3798.0,3825.0,3688.0,3702.0,3774.8,3618.8,3422.2,79.8,85.6,-5.8,153.6
2026-04-27,3711.0,3733.0,3617.0,3617.0,3727.0,3627.8,3431.6,62.5,81.0,-18.5,156.2
2026-04-28,3692.0,3755.0,3660.0,3695.0,3709.0,3640.8,3443.6,54.5,75.7,-21.2,155.0
2026-04-30,3704.0,3753.0,3599.0,3617.0,3682.0,3646.1,3455.0,41.3,68.8,-27.5,154.0
2026-05-01,3570.0,3723.0,3542.0,3635.0,3653.2,3655.2,3465.9,32.0,61.4,-29.4,155.1
2026-05-07,3635.0,3678.0,3601.0,3654.0,3643.6,3663.8,3477.3,25.8,54.3,-28.5,146.9
2026-05-08,3654.0,3666.0,3554.0,3650.0,3650.2,3677.3,3487.5,20.4,47.5,-27.1,141.2
2026-05-11,3685.0,3691.0,3626.0,3643.0,3639.8,3689.7,3493.2,15.4,41.1,-25.7,134.6
2026-05-12,3585.0,3610.0,3408.0,3440.0,3604.4,3687.4,3497.0,-5.0,31.9,-36.9,140.9
