Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2026-02-24,2852.9,2857.8,2826.9,2833.8,2878.3,2836.4,2573.7,2573.7,57.6,71.4,-13.9,91.3,True
2026-02-25,2833.8,2834.7,2756.2,2777.8,2869.4,2831.7,2580.3,2580.3,45.4,66.2,-20.8,87.2,True
2026-02-26,2825.9,2873.5,2823.0,2870.1,2864.2,2831.3,2588.1,2588.1,42.8,61.5,-18.8,87.7,True
2026-02-27,2879.4,2912.7,2858.3,2912.7,2856.2,2836.7,2596.9,2596.9,43.6,57.9,-14.3,84.9,True
2026-03-02,2769.5,2811.2,2734.6,2767.0,2832.3,2836.8,2603.3,2603.3,32.1,52.8,-20.7,87.2,True
2026-03-03,2755.7,2792.5,2719.9,2722.9,2810.1,2834.4,2609.3,2609.3,19.3,46.1,-26.8,85.5,True
2026-03-04,2641.4,2688.5,2549.7,2594.8,2773.5,2831.0,2613.4,2613.4,-1.3,36.6,-37.9,90.9,True
2026-03-05,2693.4,2735.6,2661.1,2683.6,2736.2,2829.6,2618.8,2618.8,-10.2,27.2,-37.5,95.4,True
2026-03-06,2645.4,2707.7,2642.9,2707.7,2695.2,2830.0,2623.5,2623.5,-15.3,18.7,-34.0,93.6,True
2026-03-09,2530.6,2626.2,2523.7,2614.9,2664.8,2825.6,2626.4,2626.4,-26.4,9.7,-36.1,99.9,True
2026-03-10,2664.0,2701.3,2641.9,2670.4,2654.3,2822.3,2629.9,2629.9,-30.4,1.7,-32.1,101.2,True
2026-03-11,2686.6,2711.1,2634.1,2634.1,2662.1,2820.0,2633.3,2633.3,-36.1,-5.9,-30.2,100.2,True
2026-03-12,2626.7,2628.2,2557.0,2604.1,2646.2,2811.0,2637.3,2637.3,-42.5,-13.2,-29.3,101.7,True
2026-03-13,2543.3,2610.0,2542.3,2606.1,2625.9,2799.5,2641.5,2641.5,-46.9,-19.9,-27.0,100.7,True
2026-03-16,2575.2,2593.4,2552.6,2584.5,2619.8,2789.9,2644.7,2644.7,-51.5,-26.3,-25.3,100.3,True
2026-03-17,2619.8,2644.4,2587.0,2609.5,2607.7,2778.4,2648.3,2648.3,-52.6,-31.5,-21.1,98.9,True
2026-03-18,2644.4,2684.6,2633.1,2679.7,2616.8,2769.5,2652.9,2652.9,-47.2,-34.7,-12.6,97.5,True
2026-03-19,2639.5,2665.5,2619.8,2635.5,2623.1,2755.9,2656.0,2656.0,-46.0,-36.9,-9.1,97.8,True
2026-03-23,2503.1,2529.6,2473.6,2516.3,2605.1,2735.5,2658.0,2658.0,-54.0,-40.3,-13.7,96.7,True
2026-03-24,2565.4,2594.8,2547.7,2589.4,2606.1,2721.2,2660.8,2660.8,-53.9,-43.1,-10.8,97.1,True
2026-03-25,2666.9,2681.7,2643.4,2667.4,2617.7,2713.6,2664.2,2664.2,-46.9,-43.8,-3.1,91.3,True
2026-03-26,2687.5,2688.5,2628.2,2649.8,2611.7,2706.7,2666.5,2666.5,-42.3,-43.5,1.2,85.6,True
2026-03-27,2630.1,2672.3,2626.2,2664.0,2617.4,2697.4,2669.7,2669.7,-37.1,-42.2,5.1,84.2,True
2026-03-30,2599.0,2632.0,2572.0,2621.0,2638.3,2684.2,2671.7,2671.7,-36.0,-41.0,5.0,77.7,True
2026-03-31,2575.0,2683.0,2573.0,2600.0,2640.4,2672.7,2673.3,2673.3,-36.5,-40.1,3.6,79.4,True
2026-04-01,2710.0,2813.5,2691.0,2808.0,2668.6,2671.7,2678.0,2678.0,-19.8,-36.0,16.2,89.1,True
2026-04-02,2841.0,2844.0,2732.0,2760.0,2690.6,2670.9,2682.3,2682.3,-10.3,-30.9,20.6,91.6,True
